File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/10843_20151015/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	19.082143	/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-0.884114	/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	11.706277	/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	23.395543	/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	14.344664
/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	23.096873	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	37.585639	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	36.869045	/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-11.624583	/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-8.076759	/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-6.277738
/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	10.258954	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	13.689247	/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	9.718064	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-3.203647	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	10.656732	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-8.436604
/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	31.489751	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	28.571559	/Volumes/Phillips/P5/subj/10843_20151015/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	7.114801	/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-6.242006	/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-22.407624	File	Sub-brick	Mean_1  
/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	17.456561	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11339_20141104/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-6.208752
File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	31.778167	/Volumes/Phillips/P5/subj/11339_20141104/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	7.933456	/Volumes/Phillips/P5/subj/10843_20151015/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-1.704286	File	Sub-brick	Mean_1  
/Volumes/Phillips/P5/subj/11339_20141104/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	10.258752	/Volumes/Phillips/P5/subj/11339_20141104/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	10.652699	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/10843_20151015/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-17.336610
File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-0.884114	/Volumes/Phillips/P5/subj/10843_20151015/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-4.636322	/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	23.395543	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/10843_20151015/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	19.082143	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	14.344664
/Volumes/Phillips/P5/subj/10843_20151015/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	4.675781	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	36.869045	/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	11.706277	/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-8.076759	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	37.585639	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-6.277738
/Volumes/Phillips/P5/subj/11228_20150309/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	23.096873	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	9.718064	/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-11.624583	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	10.656732	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	13.689247	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-8.436604
/Volumes/Phillips/P5/subj/11277_20160311/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	10.258954	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11339_20141104/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	24.398819	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-3.203647	/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-22.407624	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	28.571559	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-0.843898
/Volumes/Phillips/P5/subj/11327_20140911/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	31.489751	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	2.815602	/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-6.242006	/Volumes/Phillips/P5/subj/11339_20141104/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	19.143049	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	1.400636	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11339_20141104/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-6.208752
/Volumes/Phillips/P5/subj/11333_20141017/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	17.456561	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	39.988733	/Volumes/Phillips/P5/subj/11339_20141104/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	7.933456	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	3.446760	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11339_20141104/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	10.652699	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-14.027216
/Volumes/Phillips/P5/subj/11339_20141104/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	10.258752	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	34.052312	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-4.749671	/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-2.387774	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	12.146553	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	9.942553
/Volumes/Phillips/P5/subj/11340_20141031/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	31.098006	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	38.167074	/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	7.773824	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	6.798431	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	22.675585	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	12.693520
/Volumes/Phillips/P5/subj/11341_20141118/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	17.962030	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-14.949848	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	18.200215	/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	22.021563	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	6.711221	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-0.619585
/Volumes/Phillips/P5/subj/11348_20141119/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	14.337710	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11352_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	2.403898	/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	15.301098	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-2.145199	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	22.153237	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-4.748100
/Volumes/Phillips/P5/subj/11349_20141124/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-8.043777	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11354_20141205/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	5.198413	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-11.893598	/Volumes/Phillips/P5/subj/11352_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-1.376642	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	9.047789	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11352_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	0.568793
/Volumes/Phillips/P5/subj/11351_20141202/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	8.362893	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11355_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	26.733675	/Volumes/Phillips/P5/subj/11352_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	4.570807	/Volumes/Phillips/P5/subj/11354_20141205/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-18.276364	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11352_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	10.628621	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11354_20141205/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-7.640833
/Volumes/Phillips/P5/subj/11352_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	15.125656	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11356_20150105/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	2.469807	/Volumes/Phillips/P5/subj/11354_20141205/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-18.001120	/Volumes/Phillips/P5/subj/11355_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	3.995773	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11354_20141205/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	12.465227	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11355_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	5.712469
/Volumes/Phillips/P5/subj/11354_20141205/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-6.036339	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11357_20150122/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	35.861675	/Volumes/Phillips/P5/subj/11355_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	1.287989	/Volumes/Phillips/P5/subj/11356_20150105/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-5.949018	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11355_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	17.052050	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11356_20150105/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	2.626193
/Volumes/Phillips/P5/subj/11355_20141230/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	20.003491	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11358_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	18.933520	/Volumes/Phillips/P5/subj/11356_20150105/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	3.803953	/Volumes/Phillips/P5/subj/11357_20150122/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	25.829442	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11356_20150105/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	17.813904	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11357_20150122/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	19.885635
/Volumes/Phillips/P5/subj/11356_20150105/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	6.106020	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11359_20150203/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	19.091378	/Volumes/Phillips/P5/subj/11357_20150122/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	18.025847	/Volumes/Phillips/P5/subj/11358_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	4.655925	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11357_20150122/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	15.197231	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11358_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	5.995421
/Volumes/Phillips/P5/subj/11357_20150122/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-3.915898	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11360_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	16.511718	/Volumes/Phillips/P5/subj/11358_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	1.300541	/Volumes/Phillips/P5/subj/11359_20150203/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	24.181035	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11358_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	30.592308	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11359_20150203/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-7.987979
/Volumes/Phillips/P5/subj/11358_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	12.190188	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11363_20150310/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	38.693137	/Volumes/Phillips/P5/subj/11359_20150203/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	12.652746	/Volumes/Phillips/P5/subj/11360_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	17.113535	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11359_20150203/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	17.203490	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11360_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	24.278914
/Volumes/Phillips/P5/subj/11359_20150203/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	35.285779	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11365_20150407/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	12.972762	/Volumes/Phillips/P5/subj/11360_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	17.624349	/Volumes/Phillips/P5/subj/11363_20150310/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	7.127666	File	Sub-brick	Mean_1  
File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11360_20150129/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	31.573744	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	File	Sub-brick	Mean_1  	/Volumes/Phillips/P5/subj/11363_20150310/contrasts/Att/bycond_stats+tlrc.[7]	0[Flexible#]	-0.993388
